PROBEID	ENTREZ	SYMBOL
ILMN_1700652	1101	CHAD
ILMN_2208903	1043	CD52
ILMN_2214117	64579	NDST4
ILMN_1654072	6376	CX3CL1
ILMN_1673521	84634	KISS1R
ILMN_1683694	6532	SLC6A4
ILMN_1789507	1301	COL11A1
ILMN_2169966	116441	TM4SF18
ILMN_1700831	11001	SLC27A2
ILMN_2212909	9833	MELK
ILMN_1708934	133	ADM
ILMN_1708580	10158	PDZK1IP1
ILMN_2278335	441282	AKR1B15
ILMN_1723123	2261	FGFR3
ILMN_1729962	100506627	DCDC5
ILMN_2374449	6696	SPP1
ILMN_1784863	948	CD36
ILMN_1804339	57172	CAMK1G
ILMN_1664464	5730	PTGDS
ILMN_1782204	174	AFP
ILMN_1693119	130576	LYPD6B
ILMN_1745570	5650	KLK7
ILMN_1784294	51200	CPA4
ILMN_1746673	55964	SEPT3
ILMN_1760087	1811	SLC26A3
ILMN_1781943	81610	FAM83D
ILMN_2353732	925	CD8A
ILMN_1746359	85004	RERG
ILMN_1763704	8786	RGS11
ILMN_1791280	26353	HSPB8
ILMN_2305407	7704	ZBTB16
ILMN_1731073	10753	CAPN9
ILMN_1658333	1893	ECM1
ILMN_1672000	374860	ANKRD30B
ILMN_1732538	3929	LBP
ILMN_1753613	3202	HOXA5
ILMN_1757406	3006	HIST1H1C
ILMN_1727880	1041	CDSN
ILMN_1779852	220832	FABP5P3
ILMN_1698885	11122	PTPRT
ILMN_2188862	9518	GDF15
ILMN_1742025	10439	OLFM1
ILMN_1730977	80736	SLC44A4
ILMN_1691641	4435	CITED1
ILMN_1682993	4818	NKG7
ILMN_2131861	8835	SOCS2
ILMN_1768705	6860	SYT4
ILMN_1770400	201181	ZNF385C
ILMN_2325837	915	CD3D
ILMN_1740512	286527	TMSB15B
ILMN_2169801	7177	TPSAB1
ILMN_1697189	139728	PNCK
ILMN_1718863	3775	KCNK1
ILMN_1694268	55502	HES6
ILMN_1716195	8339	HIST1H2BG
ILMN_1766499	3306	HSPA2
ILMN_1660086	4629	MYH11
ILMN_2068104	7980	TFPI2
ILMN_2067890	6373	CXCL11
ILMN_1692280	4821	NKX2-2
ILMN_1807050	399694	SHC4
ILMN_1672094	1745	DLX1
ILMN_2166457	3248	HPGD
ILMN_1734929	8424	BBOX1
ILMN_2148913	55076	TMEM45A
ILMN_1814333	5274	SERPINI1
ILMN_2198239	3081	HGD
ILMN_1657760	51760	SYT17
ILMN_2103107	27299	ADAMDEC1
ILMN_2113490	59277	NTN4
ILMN_2146761	2171	FABP5
ILMN_1769388	2706	GJB2
ILMN_2382290	79412	KREMEN2
ILMN_1774265	389084	C2orf82
ILMN_2196328	10631	POSTN
ILMN_1774287	629	CFB
ILMN_1718198	4889	NPY5R
ILMN_1739513	23581	CASP14
